loan_ref,product_code,date_approved,date_disbursed,first_payment_due,maturity_date,amount_usd,annual_rate_pct,term_months,payment_frequency,loan_purpose,client_gender,client_dob,marital_status,num_dependents,employment_sector,months_at_employer,monthly_income_usd,existing_obligations,collateral_type,disbursement_channel,province,defaulted
CU70100,0,27/1/2026,11/2/2026,23/3/2026,1/2/2028,2239.44,120.41,24,Monthly,Working_Capital,Male,25-Apr-89,Married,4,Retail_Trade,20,612.34,1,None,Cash,Masvingo,0
BF12802,2,21/11/2025,28/11/2025,28/12/2025,22/5/2027,621.94,130.32,18,Monthly,Working_Capital,Female,2-Nov-82,Single,7,Informal_Sector,14,102.67,3,Property,EcoCash,Mashonaland_East,0
ZN77347,1,27/7/2025,28/7/2025,23/8/2025,19/1/2027,3045.52,127.97,18,Monthly,Working_Capital,Male,5-Aug-94,Married,3,Education,135,,1,Guarantor,InnBucks,Harare,0
IB09411,1,15/7/2025,22/7/2025,22/8/2025,13/1/2027,9005.01,111.78,18,Bi-Weekly,Equipment,Male,22-Oct-97,Married,3,Informal_Sector,18,486.26,3,Vehicle,EcoCash,Matabeleland_South,0
HL21785,3,29/11/2024,8/12/2024,10/1/2025,28/11/2026,716.22,15.28,24,Monthly,School_Fees,Female,30-Mar-83,Married,5,Retail_Trade,31,257.58,4,Property,Cash,Harare,0
JF07315,4,3/4/2025,4/4/2025,3/5/2025,25/3/2027,14648.66,16.11,24,Weekly,Equipment,Female,18-Jan-04,Single,1,Informal_Sector,38,568.76,2,None,EcoCash,Bulawayo,1
VR43165,1,29/8/2025,10/9/2025,21/10/2025,5/9/2026,4848.63,121.43,12,Monthly,Stock_Purchase,Male,24-Oct-85,Divorced,4,Mining,20,687.59,2,Guarantor,Cash,Matabeleland_North,1
DE47087,2,12/1/2026,31/1/2026,11/3/2026,26/1/2027,7535,78.18,12,Monthly,Working_Capital,Female,19-Jun-86,Single,5,Construction,49,536.78,2,Livestock,EcoCash,Manicaland,0
KP30621,0,30/1/2025,8/2/2025,21/3/2025,9/5/2025,9384.57,18.47,3,Monthly,Farming_Inputs,Female,18-May-70,Married,2,Mining,48,1350.1,2,None,EcoCash,Mashonaland_Central,0
HU08029,3,23/1/2026,24/1/2026,6/3/2026,18/7/2027,1282.99,16.41,18,Monthly,School_Fees,Male,17-Jan-06,Single,1,Construction,21,427.64,2,Guarantor,EcoCash,Manicaland,0
XW44732,1,6/6/2025,25/6/2025,22/7/2025,17/12/2026,7353.54,12.75,18,Weekly,Business_Expansion,Male,14-Aug-86,Married,2,Agriculture,73,389.39,3,Vehicle,Bank_Transfer,Harare,0
SS84037,2,18/11/2024,4/12/2024,14/1/2025,29/11/2025,14606.4,101.09,12,Monthly,Livestock,Male,5-May-81,,,Finance,88,2041.67,3,Savings,OneMoney,Harare,0
ZW17452,0,19/12/2024,2/1/2025,11/2/2025,28/12/2025,2430.46,17.44,12,Monthly,Working_Capital,Female,8-Nov-72,Married,,Manufacturing,34,1021.04,0,None,Bank_Transfer,Manicaland,0
RZ30072,2,19/2/2025,24/2/2025,28/3/2025,18/8/2026,2179.72,115.25,18,Monthly,Working_Capital,Female,20-Oct-05,Single,2,Agriculture,10,330.46,0,Guarantor,EcoCash,Matabeleland_North,0
LA36441,3,17/11/2025,26/11/2025,6/1/2026,25/5/2026,690.75,14.66,6,Monthly,Medical,Male,31-Jan-82,Divorced,,Retail_Trade,40,436.81,2,Savings,Cash,Harare,1
